"","TCGA_AC_A2FM_01","TCGA_AC_A2FF_01","TCGA_AC_A2FB_01","TCGA_GI_A2C9_01","TCGA_BH_A1FE_01","TCGA_BH_A18V_01","TCGA_E2_A15K_01","TCGA_BH_A0B3_01","TCGA_BH_A0AZ_01","TCGA_BH_A0BJ_01","TCGA_BH_A0BS_01","TCGA_BH_A0BW_01","TCGA_BH_A0B7_01","TCGA_BH_A0H7_01","TCGA_A7_A13E_01","TCGA_A7_A13F_01","TCGA_E2_A15K.1_01","TCGA_BH_A18V.1_01","TCGA_BH_A18P_01","TCGA_BH_A18L_01","TCGA_BH_A1FR_01","TCGA_BH_A1EN_01","TCGA_BH_A1F8_01","TCGA_BH_A1FG_01","TCGA_BH_A1FH_01","TCGA_BH_A1FJ_01","TCGA_BH_A1EV_01","TCGA_E9_A1N4_01","TCGA_BH_A209_01","TCGA_BH_A203_01","TCGA_BH_A208_01","TCGA_BH_A204_01","TCGA_E2_A153_01","TCGA_A7_A0CE_01","TCGA_A7_A0CH_01","TCGA_BH_A0BV_01","TCGA_BH_A0BM_01","TCGA_BH_A0BC_01","TCGA_BH_A0E0_01","TCGA_BH_A0E1_01","TCGA_BH_A0DV_01","TCGA_BH_A0DT_01","TCGA_BH_A18N_01","TCGA_BH_A0DP_01","TCGA_BH_A0DK_01","TCGA_BH_A0DL_01","TCGA_BH_A0DG_01","TCGA_BH_A0DH_01","TCGA_BH_A0DD_01","TCGA_BH_A0C0_01","TCGA_BH_A0BZ_01","TCGA_BH_A0AY_01","TCGA_BH_A0BQ_01","TCGA_BH_A0AU_01","TCGA_BH_A0C3_01","TCGA_BH_A0BT_01","TCGA_BH_A0BA_01","TCGA_E2_A158_01","TCGA_BH_A0HA_01","TCGA_BH_A0H5_01","TCGA_BH_A0HK_01","TCGA_BH_A0H9_01","TCGA_BH_A0B5_01","TCGA_A7_A0DB_01","TCGA_A7_A0D9_01","TCGA_BH_A18U_01","TCGA_BH_A18S_01","TCGA_BH_A18Q_01","TCGA_BH_A18R_01","TCGA_BH_A18M_01","TCGA_BH_A18J_01","TCGA_E2_A1BC_01","TCGA_E2_A15M_01","TCGA_BH_A1EO_01","TCGA_BH_A1EU_01","TCGA_BH_A1ET_01","TCGA_BH_A1F0_01","TCGA_BH_A1F2_01","TCGA_BH_A1EW_01","TCGA_BH_A1FE.1_01","TCGA_BH_A1FD_01","TCGA_BH_A1FC_01","TCGA_BH_A1FB_01","TCGA_BH_A1FM_01","TCGA_BH_A1FN_01","TCGA_BH_A1F6_01","TCGA_E2_A15I_01","TCGA_E2_A1L7_01","TCGA_E2_A1LS_01","TCGA_E9_A1R7_01","TCGA_E9_A1RB_01","TCGA_E9_A1RC_01","TCGA_E9_A1RD_01","TCGA_E9_A1RF_01","TCGA_E9_A1RH_01","TCGA_E9_A1RI_01","TCGA_E2_A1IG_01","TCGA_E2_A1LB_01","TCGA_E9_A1ND_01","TCGA_E9_A1N5_01","TCGA_E9_A1N6_01","TCGA_E9_A1N9_01","TCGA_E9_A1NA_01","TCGA_E9_A1NF_01","TCGA_E9_A1NG_01","TCGA_GI_A2C8_01"
"PRKCB",-0.2359,-0.33075,-0.48087,-0.30159,0.17517,-0.092029,0.33035,0.096538,-0.73223,-0.49456,0.12497,0.57567,-0.29142,-0.85936,-0.40025,-0.45469,0.097086,-0.63057,0.057448,-0.30392,0.68204,-0.10337,0.025882,0.28156,-0.76065,-0.046239,0.1485,-0.69566,0.45193,0.32735,-0.31188,-0.52827,0.31246,0.14192,-0.022794,-0.44694,-0.22239,0.044876,-0.51334,-0.81085,-0.62865,-0.20028,-0.14949,-0.20187,-0.93348,0.16029,-0.73951,-0.11809,-0.40966,0.24349,0.36772,-0.63656,-0.62532,-0.62567,0.52189,-0.81087,-0.78307,-0.28372,-0.25307,0.89881,-0.16844,0.022643,-0.24731,-0.47149,-0.55944,0.16251,0.25849,0.012509,-0.49851,-0.18798,-0.33831,0.29963,0.15114,-0.56172,0.079589,0.45354,0.12011,-0.15524,-0.78871,-0.76516,-0.034629,-0.16536,-0.47609,0.45491,0.19007,-0.13912,-0.70316,-0.63349,-0.48571,-0.092879,0.065357,-1.2591,0.61873,0.20251,0.16155,0.37598,-0.051305,-0.41609,0.60879,-0.10561,-1.3301,-0.42657,0.80014,-0.20125,0.21534,-0.47784
"PRDX1",0.028313,-0.21265,-0.054856,0.24135,-0.11877,0.37914,0.070422,-0.17462,0.23282,-0.098047,0.28808,-0.0031931,0.16122,-0.22455,0.18025,0.18823,-0.0033389,0.38815,-0.37034,0.13742,-0.32679,-0.30964,0.37493,0.97787,0.090276,-0.16134,0.16658,0.18046,0.10332,-0.08225,0.29731,-0.28719,-0.083696,0.084153,0.072212,0.17093,0.29816,0.12937,0.53802,-0.21678,-0.019504,0.02217,-0.16389,0.49657,0.51587,0.11233,0.29433,0.32529,-0.1957,0.31993,0.25514,0.41156,0.39901,0.47638,0.70043,0.19157,-0.40924,-0.038522,0.06421,0.23789,0.18264,0.031242,-0.038443,0.0074804,-0.38127,-0.10614,-0.12268,-0.21774,-0.14593,0.052336,-0.44996,-0.28387,-0.34018,0.57592,-0.0017323,-0.17809,-0.023667,0.16338,0.33963,0.03919,0.35077,0.38734,-0.12763,0.63803,0.095925,0.21014,-0.053526,0.077873,-0.064824,-0.33885,0.47383,-0.13264,-0.13831,0.26685,0.37095,-0.076147,-0.020424,0.42726,0.0088715,0.15571,0.18331,0.27179,-0.14901,0.16079,-0.046024,-0.067337
"RAB11A RAB11B",0.20602,0.74206,1.2219,0.19388,0.15223,-0.01167,-0.095871,0.061543,0.79394,0.47403,0.26738,-0.026858,0.18441,1.743,0.13804,0.38951,0.66243,-0.00099054,0.38722,0.70375,-0.043324,0.482,0.063895,0.11388,1.397,0.21507,0.13211,0.053675,-0.19514,-0.13984,0.42765,0.15637,0.073765,-0.0014839,-0.058681,-0.045565,0.3074,0.48335,-0.015477,0.49046,0.76151,0.26523,0.29561,0.91188,0.04059,0.048629,0.64447,0.27695,-0.002099,-0.029966,-0.059377,0.75369,0.16946,0.45688,0.024645,0.44887,1.1426,0.36255,0.28408,0.27081,0.44489,0.37311,1.0849,0.14686,0.88798,1.4217,0.16548,-0.0030102,0.094794,0.53937,0.31154,0.68345,0.48044,0.18648,0.092341,0.36861,0.31795,0.19686,0.68037,0.61078,0.075635,-0.14602,0.6087,0.13781,0.16292,0.49342,0.72401,-0.0070303,0.65346,0.39225,-0.21351,0.64161,0.027415,0.012709,1.1528,0.0076072,0.1908,0.28617,-0.11286,0.16076,0.19014,0.14209,0.019632,0.44869,0.27194,0.37962
"RAB25",-0.36305,-0.041567,-0.46588,0.84817,-0.95505,0.24951,0.68293,0.28499,0.41619,0.70157,1.4064,0.40639,0.50016,-0.5156,0.54493,0.8443,0.50516,0.29706,1.1371,0.38588,-0.041695,0.025314,0.27367,0.24242,-0.094449,1.6959,0.94284,0.13368,-0.15082,0.74113,-0.20568,0.22013,1.2299,0.6585,0.84793,1.0511,0.70404,-0.2189,1.8933,-0.082503,0.086435,0.69943,0.014127,-0.27593,0.46795,0.11276,0.33846,-0.097584,-0.049013,-0.45931,-0.097309,0.37949,0.7698,0.9125,0.15958,0.52091,0.24109,1.5325,0.52046,0.54397,1.5679,0.45342,-0.78068,0.93805,-0.12086,-0.070336,1.146,0.53093,0.88029,-0.12641,-0.67082,0.12865,0.65448,-0.58033,0.74036,0.61726,1.2289,-0.06385,-0.039912,0.0064353,-0.40887,-0.56383,-0.12712,0.48897,-0.12252,0.32053,-0.21955,0.058464,1.0931,0.09222,-0.30084,0.39749,0.5679,0.81289,0.30106,0.3666,0.731,-0.043312,0.23088,-0.10901,0.012107,0.61843,-0.21442,-0.16482,0.19597,-0.16459
"RPTOR",-0.11143,-0.21981,-0.20272,-0.1753,0.057651,-0.59851,-0.24854,-0.12301,0.10785,0.46663,-0.0039128,-0.024732,-0.027481,0.090655,-0.1501,0.18458,0.039489,-0.35019,0.15257,0.30508,0.083767,-0.33272,0.12906,0.68126,0.044593,0.57441,-0.21818,0.36213,0.20919,-0.13883,-0.236,0.17713,0.52364,0.25941,0.41347,0.48642,0.39908,-0.17788,0.065072,0.010847,0.063881,0.24151,0.092873,0.09055,0.22304,0.0026536,-0.1519,0.22341,0.19049,0.12198,0.35996,-0.026581,-0.05638,0.16962,0.082265,-0.20006,-0.4823,0.31103,0.009812,0.17699,0.21682,-0.010511,-0.28413,-0.0097208,-0.30583,-0.13981,0.60709,0.14512,0.44177,-0.1372,-0.28479,0.02318,0.12624,-0.24049,0.010093,0.32659,0.18893,-0.023351,0.1049,-0.07189,0.23339,0.10782,0.22391,0.30151,0.26316,-0.091327,-0.29732,0.45928,0.010975,0.33787,0.037055,-0.10369,0.31105,0.13111,-0.064115,0.59737,0.90238,0.2601,-0.04859,0.57243,-0.47234,0.45487,-0.30377,-0.25306,0.10017,-0.29563
"RBM15",-0.52305,-1.1889,-2.4209,-0.4984,-0.42632,0.32936,0.14015,0.0015534,-1.0185,-0.32094,-0.092105,0.16052,-0.31904,-2.0643,0.60156,-0.032274,0.13067,0.55293,0.46318,-0.41233,-0.59919,-0.8786,-0.43766,-2.1789,-1.5289,0.41641,0.12039,-0.35136,0.39659,-0.34624,-0.26327,0.39926,0.27233,0.51366,0.49863,0.14313,-0.22505,-0.66329,0.34466,-1.3588,-1.5142,-0.70904,-0.24105,-1.6587,-0.21281,0.051608,-1.4554,-0.41804,0.061654,-0.11136,0.3396,-1.7293,-1.2147,-0.73385,-0.47618,-1.5239,-1.7429,1.2303,-0.65086,0.02251,-0.43901,-0.1347,-1.1646,-0.74136,-1.7355,-0.9908,-0.14453,0.56197,0.081109,-0.56103,-0.6928,-0.71589,0.053762,-1.3718,-0.74346,-0.47322,0.082795,-0.7635,-1.3866,-0.90209,0.091975,0.63136,-1.8466,0.30786,0.13936,-0.88664,-0.93492,0.41377,0.158,-0.43575,0.4911,-0.1991,0.21354,0.1753,-1.1207,-0.63405,0.15585,-0.44907,0.086222,-0.021318,-0.49931,0.27726,0.33875,-0.31515,-0.27401,-0.59471
"RICTOR",0.042337,-0.16568,0.32894,-0.17887,1.1012,-0.82239,0.31689,-0.55074,-0.33547,-0.3117,0.32426,-0.43626,-0.49006,0.061252,-0.11713,-0.21264,-0.72461,-0.82196,-0.27205,-0.26455,0.38057,0.073604,0.080969,-0.58669,-0.52457,0.48176,-0.32045,0.48293,0.0071265,0.14072,-0.24342,0.096855,0.13508,-0.22359,0.00071467,0.38817,-0.087741,-0.17635,-0.53417,0.8072,1.5663,-0.69749,0.3136,-0.55273,0.18644,-0.74131,0.44483,-0.53882,0.29426,-0.12928,-0.21151,-0.69557,-0.25461,-0.76463,-0.34527,-0.54016,1.0722,-0.0029782,-0.67366,-0.34084,-0.64157,-0.019602,-1.1308,-0.53814,0.011365,-0.46488,0.27985,-0.0068156,-0.2487,0.03733,0.16205,-0.29621,0.14947,-0.78508,-0.26034,0.0049888,-0.40663,-0.37086,-0.53473,-0.53795,-0.50793,-0.31839,1.7213,0.48247,0.10481,-0.47204,0.12769,-0.041472,-0.036975,-0.22757,0.33948,0.22537,0.2894,0.49182,-0.20921,0.21437,0.26115,-0.43973,-0.023792,-0.16574,-0.77073,0.47798,-0.41417,-0.20437,0.13449,-0.13891
"SCD",0.38245,-0.078793,-0.35478,0.031179,-0.16194,-0.13736,-0.17247,0.0062302,0.036434,-0.72008,0.088806,-0.13055,0.057043,0.11669,-0.30976,-0.48653,-0.33878,-0.061866,-0.12397,-0.062566,-0.20388,0.42047,-0.16109,-0.23478,-0.15928,-0.036922,-0.11042,-0.19907,-0.13065,0.99066,-0.13672,-0.054205,-0.70968,0.044748,0.17127,0.18847,-0.024605,-0.29227,0.40993,0.10644,0.031275,-0.086046,0.21001,-0.23853,0.29048,0.094629,-0.41658,-0.4279,0.21835,0.16842,0.18071,-1.0862,0.21988,-0.3443,0.41781,0.13851,-0.15356,0.13045,0.16098,-0.37544,0.10528,0.03663,-0.29054,0.15883,-0.77351,-0.30739,0.16421,0.16963,0.17405,-0.48945,-0.16939,-0.8284,-0.91212,0.063433,-0.20778,-0.18062,-0.043218,0.054456,-0.13881,-0.0012859,-0.12952,-0.35412,-0.21505,-0.028523,-0.26731,-0.10139,-0.043076,-0.18572,0.072222,-0.092077,-0.27974,0.10468,-0.13382,0.0072141,0.76948,-0.30031,-0.019697,0.21646,-0.23109,-0.20166,0.04815,-0.056557,-0.17458,0.12627,0.0077736,0.14137
"SRSF1",-0.00059985,-0.29566,-0.15457,-0.035062,-0.20009,-0.15018,0.12565,0.018222,0.020032,-0.050646,0.19979,-0.026693,0.10285,0.10251,-0.22094,-0.39277,-0.35741,-0.0080664,-0.2161,-0.077415,0.17061,-0.25586,-0.21727,-0.15054,-0.18421,0.22912,-0.026132,-0.14571,0.22124,-0.065497,-0.21073,0.2781,-0.056958,0.027438,0.0261,-0.0060804,0.3509,0.21742,0.044729,0.058502,0.069731,-0.12135,-0.13075,0.56783,-0.018892,-0.20408,0.18183,0.011096,-0.25129,-0.0017619,0.10313,0.054901,0.038834,0.048889,-0.0056508,0.14013,-0.037909,-0.20549,0.11482,0.041516,-0.043121,0.0087341,0.076072,-0.046843,0.03019,-0.30184,-0.081449,-0.29934,0.054023,-0.22769,0.48857,-0.3217,-0.26919,0.41604,0.070475,-0.091441,0.33618,0.20866,-0.50422,0.1155,-0.30479,-0.0019468,-0.12505,0.0082943,-0.60348,0.17466,0.36134,-0.064699,0.14871,0.054635,-0.26368,0.12664,-0.056804,-0.17665,0.63655,-0.14601,-0.0096042,0.0080015,-0.041533,-0.14746,-0.09765,0.010856,-0.23023,0.0041464,0.2713,0.49155
"WWTR1",-0.24411,0.14347,0.16931,0.29598,0.093828,0.054835,-0.38997,0.086214,0.2432,0.33062,-0.22494,-0.0063682,-0.0288,0.54555,0.088009,-0.058689,0.017766,0.66176,-0.134,0.19017,-0.3235,-0.035523,-0.048214,-0.12604,0.53085,-0.023242,0.013792,0.036365,-0.073431,-0.096144,0.20423,0.013134,-0.11097,0.10778,-0.26464,-0.11224,0.23799,0.31162,-0.037749,0.3206,0.15592,-0.02265,-0.14865,0.43568,0.024943,-0.027662,0.32226,1.7312,-0.32995,-0.19308,-0.025482,0.62036,-0.038615,0.019646,-0.16011,0.26216,0.20204,0.086262,-0.039126,-0.31194,-0.13526,-0.03508,0.23614,-0.18289,0.3523,0.43528,-0.26096,0.058525,-0.3295,0.14582,0.38517,0.076462,0.092563,0.21018,-0.060496,-0.17406,0.04944,-0.091313,0.0058186,0.31667,0.029111,0.0070075,-0.0031354,0.046939,0.19211,0.14796,0.14296,-0.012406,-0.15891,0.064046,-0.048808,0.59169,0.035324,0.347,0.14754,0.018185,-0.087159,0.24403,-0.088204,-0.13161,-0.0041686,0.01351,-0.13644,0.24032,0.31357,0.21416
"TIGAR",-0.6715,-0.15347,-0.068335,-0.13251,-0.093026,-0.10275,-0.34321,-0.23708,-0.049335,0.13313,0.1419,-0.0017909,-0.075721,0.19765,-0.43115,-0.010591,0.013415,-0.11389,-0.10559,-0.086775,-0.22647,0.19856,-0.059205,-0.0058115,0.22746,-0.0069571,-0.1395,0.024862,-0.10853,0.041645,-0.078103,-0.34178,-0.069896,-0.085031,-0.13231,-0.045055,0.13085,0.098057,-0.28455,0.16283,0.093547,-0.1465,-0.16976,0.38585,-0.015935,0.029695,-0.16405,0.12697,-0.13551,-0.010864,-0.042622,0.25508,-0.10759,0.095032,-0.068824,0.055324,-0.065958,-0.15479,-0.054954,-0.12275,-0.29435,-0.24021,-0.17587,-0.16732,0.012194,0.16966,-0.15337,-0.23489,-0.27717,-0.083686,0.093706,-0.32774,-0.018581,0.084614,-0.08477,-0.17557,0.071454,0.087746,-0.10979,0.060536,-0.013857,-0.18999,-0.048783,0.14872,0.013262,0.25179,-0.062911,0.0037555,-0.098735,-0.21894,-0.11787,0.15789,0.032167,0.039243,-0.2925,0.023797,-0.024613,0.1469,-0.11841,-0.048359,-0.13982,-0.010769,0.044061,-0.16301,0.053942,-0.23072
"TGM2",-0.63055,-0.48676,-0.4877,-0.51151,-0.34538,0.64349,-0.70898,-0.46546,-0.34049,-0.45885,-0.57092,-0.17788,-0.60678,-0.36342,-0.39783,-0.90435,-0.3033,-0.022009,-0.53531,-0.65686,-0.69287,-0.66323,-0.6274,-0.47198,-0.631,-0.60455,-0.30196,-0.046906,-0.77192,-0.68643,-0.46967,-0.56297,-0.26363,-0.28858,-0.61165,0.20857,-0.3671,-0.44606,0.0035695,-0.3581,-0.46186,-0.34101,-0.76,-0.3548,-0.14839,-0.11667,-0.74676,-0.6056,-0.43613,0.21437,0.0064558,-0.45451,-0.34806,-0.17366,-0.78733,-0.47915,-0.94069,-0.59362,-0.63491,-0.13059,-0.88632,1.6066,-0.67675,-0.38452,-0.72012,-0.44728,-0.79973,-0.45837,-0.73484,-0.64047,-0.63832,-1.0551,-0.79347,0.082186,-0.87975,-0.75161,-0.74578,-0.59429,-0.57277,-0.55218,-0.83849,-0.55052,-0.47279,-0.18959,-0.52755,-0.71003,-0.62364,-0.26838,-0.91107,-0.65091,0.67374,-0.64408,-0.57905,0.011256,-1.0661,-0.14136,-0.20833,-0.48066,1.2019,-0.42785,-0.46136,-0.66985,-0.44678,-0.44912,-0.25631,-0.62815
"TFRC",-2.0348,-1.6202,-2.5236,-1.1017,-0.58209,-0.85708,-2.2187,-1.648,-1.8014,-1.3133,-2.2648,-1.1719,-1.0059,-2.1469,-0.75593,0.18934,-0.89978,0.84226,-0.64603,-1.5452,-1.9081,-1.3175,-0.67732,-1.3543,-1.2499,-1.2565,0.3632,-0.77817,1.1671,0.92302,-1.0244,-1.0198,0.29398,-0.65583,0.86014,0.47348,-0.58494,-0.99979,-0.48985,-0.1681,-0.49469,0.24696,-1.5336,0.14174,0.20546,-0.56856,-1.3824,0.43124,0.2453,-0.34285,0.17437,-0.47286,-0.79438,-2.9166,-1.4414,-2.0609,-1.2691,-0.21345,-1.237,-0.53765,-0.37439,-0.79124,-2.5941,-0.93084,-2.0377,-1.8569,-1.2036,-1.3755,-1.309,-0.97746,-2.5276,-1.4268,-1.8624,-1.003,-1.5592,-2.0314,-0.89052,-0.73208,-0.029242,-1.3016,-0.85864,-1.1134,-1.5346,-1.5483,0.22005,-1.591,-2.412,-0.26403,-1.8516,-1.7397,0.45459,-1.0748,-2.196,-1.5841,-1.6621,-0.96574,-2.3211,-1.5393,-1.0979,-1.038,-0.63247,-1.2646,-1.21,-1.183,-1.9741,-1.2186
"TSC1",-0.048763,0.0010456,-0.021432,0.23902,0.25083,-0.62047,-0.12446,-0.035238,0.3119,0.56445,0.49832,0.46233,0.085698,-0.33197,0.036936,-0.38179,-0.38167,-0.5988,-0.42993,0.36081,0.078577,0.34073,0.11439,0.26639,0.1015,-0.018922,-0.46791,-0.15319,-0.15021,-0.066035,-0.1222,0.00062877,0.093637,0.31597,-0.17982,-0.13823,-0.20009,-0.33496,-0.0096359,-0.43827,-0.53906,-0.24608,-0.27015,-0.43263,-0.17861,0.16557,-0.33497,0.024884,0.055047,0.5372,-0.26339,-0.0087673,-0.1983,0.27241,-0.24457,-0.054624,-0.41349,-0.16229,-0.27676,-6.58e-05,-0.51902,-0.18225,-0.42994,0.010572,-0.47216,-0.26498,-0.56142,-0.33225,-0.061742,-0.28148,-0.52466,-0.25694,-0.10244,-0.36455,-0.30936,0.18805,0.8353,0.16937,-0.56311,-0.1232,-0.29036,0.23645,0.054694,0.43199,0.16224,0.040822,-0.62265,-0.11328,-0.018836,-0.089262,0.021682,-0.39632,0.56084,-0.18002,-0.21446,0.31961,0.26635,-0.18591,-0.070877,0.17567,-0.30679,0.12483,-0.027763,-0.60389,0.22803,0.13191
"EPPK1",1.2018,0.61106,1.0111,1.6858,-1.7082,0.66298,0.75798,1.2893,-0.38231,-0.25787,1.9595,1.3842,-0.35833,0.40511,-0.57587,3.1376,1.368,2.1413,3.183,0.77775,-0.48672,0.21909,1.3664,2.2782,-0.8954,2.0143,2.6485,1.1634,1.8623,-1.0853,3.1986,0.57877,3.5284,1.5106,1.5284,2.4441,1.8006,0.91758,1.0883,-0.077755,-0.1121,2.6003,-0.40308,-1.8917,2.3632,2.2627,-0.94349,2.4849,2.0836,2.5552,0.82172,2.9359,1.9572,1.0717,2.6229,1.9338,0.28068,3.5462,1.1844,1.8262,0.37605,2.914,-1.649,0.84386,-0.24539,-1.6365,0.34714,1.3408,1.6649,1.9352,1.6176,1.6393,0.74432,2.8131,0.033965,-0.4343,1.7776,1.0678,0.23724,2.1488,0.39399,0.92053,1.7059,2.3511,1.6027,1.1523,0.53921,0.64627,1.2956,-0.2729,1.0164,2.197,-0.30672,1.7187,-1.8155,-0.75311,2.8826,-1.4323,2.2973,2.1816,2.3881,2.1525,1.1852,3.2162,1.9949,-1.8947
"XBP1",-0.13402,-0.096109,0.30247,0.013006,0.36402,0.26918,-0.27705,-0.10678,0.15631,-0.12892,-0.14874,0.035234,0.017874,0.3093,0.27223,0.018947,0.27592,0.25541,0.15115,-0.026605,0.050989,0.0040639,-0.23895,0.087458,0.052007,0.14847,0.44781,0.21973,0.1329,0.038088,0.17368,0.12967,0.13671,0.034151,-0.079985,0.21146,0.47185,0.097833,0.16811,0.19087,0.84178,0.17277,0.014964,-0.078355,0.012481,-0.10595,0.26721,-0.043325,0.23519,0.073758,0.021724,0.015034,-0.077659,-0.15715,-0.011761,0.29694,0.10385,0.020612,-0.0091079,-0.075221,0.17306,-0.011098,0.11249,0.033829,0.27889,-0.35477,-0.23722,-0.10015,-0.13679,0.016509,0.11826,-0.18276,0.30117,-0.17345,-0.17666,-0.11868,0.027478,-0.0098255,-0.26103,-0.13093,0.081861,0.1844,-0.05659,-0.10396,-0.070432,-0.1598,-0.16295,0.13727,0.23044,-0.1111,0.10716,-0.083853,0.001183,-0.18353,0.14277,0.0011042,-0.0032367,0.17535,-0.05297,0.099456,-0.15514,-0.11292,-0.10313,0.022288,-0.10418,0.038337
"TUBA1B",1.0262,-0.59996,-0.86168,0.68947,-0.34345,-1.7497,-0.30122,0.74388,-2.0902,-2.0691,0.10044,-0.2647,-0.34883,-1.3464,0.20118,0.37073,-0.76226,0.49797,-0.64371,0.18542,0.73404,-0.56826,-1.1639,-0.49096,-0.35292,-0.12709,-0.029197,-0.68959,-2.1003,-1.0314,-1.1417,0.55182,0.2211,0.55644,0.24552,-0.096589,-0.36997,-0.75555,-0.30337,-1.86,-0.19026,0.15462,-0.36592,0.023496,-0.35699,-0.53247,-0.97945,-0.94759,-0.26125,-0.24443,0.33686,-0.77771,-0.53308,-0.021992,-1.2387,-0.9514,-0.023418,0.80216,-0.43548,-0.6688,-1.0376,0.29728,-2.9497,-0.12165,-0.67679,-1.1117,0.37444,0.26307,-0.45882,-0.65312,0.17574,-1.1105,0.16102,-0.26144,-1.629,-1.418,-0.55777,-2.14,-1.642,-0.26959,-0.22701,0.031994,-0.95161,0.51662,-0.12713,-0.54869,-0.67883,-0.057457,0.26983,-1.5405,0.31681,0.87732,-0.93556,-1.0134,-0.83223,-0.69589,-0.31205,-0.44521,-0.60122,0.99116,-0.31028,0.90171,-1.2594,-1.0326,0.14232,-0.51715
"SQSTM1",0.62197,-1.0505,-0.84553,0.68838,-0.76148,0.34136,0.097705,0.19274,1.1163,0.074174,-0.0078485,0.13462,0.266,-0.92623,-0.59471,0.24073,-0.10344,0.52963,0.19089,0.2016,-0.42234,-0.20717,0.68842,1.8067,-0.021134,-0.17313,-0.30285,-0.16018,0.40296,0.60499,-0.51325,-0.15954,0.04775,-0.45026,0.17224,0.33362,-0.13727,-0.082476,-0.054526,-0.48189,-0.74003,-0.14151,-0.13645,-0.025669,1.1645,0.21613,0.18135,0.0045798,0.55467,0.36878,0.6515,0.089956,0.65961,0.63812,1.6296,-0.82432,-0.53204,-0.68343,-0.42915,-0.21725,0.79037,-0.22384,-0.61929,0.0068703,-0.28429,0.019427,0.19708,-0.37833,0.47403,0.082457,-0.59279,0.11522,-0.096263,-0.11118,-0.099516,-0.54898,0.12398,1.6575,0.3912,-0.29265,0.51375,-0.064657,-0.38067,1.1196,-0.1897,-0.063691,-0.33735,-0.030935,-0.74381,1.2762,-0.13384,0.48415,0.16498,0.21005,-0.19315,-0.052824,0.32767,0.80631,0.19275,0.69349,0.83638,-0.051975,0.96864,0.43167,-0.72291,0.072707
"YWHAB",0.085709,0.24326,0.53465,0.18,-0.0020762,-0.11406,-0.03445,0.029014,0.35775,0.049827,-0.091233,0.083534,0.044992,0.71317,-0.19205,0.11625,0.049214,-0.062558,-0.1862,0.29493,0.18092,0.31562,0.10561,0.20994,0.59967,-0.13196,0.039913,0.032086,-0.14146,0.14971,0.027977,0.014706,-0.019558,-0.075846,-0.025356,0.032699,-0.01331,0.093322,0.030887,0.32439,0.33895,-0.029521,0.074311,0.58568,0.11807,-0.058453,0.31597,0.085676,-0.0025291,0.0053959,0.04172,0.34861,0.1685,0.19185,0.022023,0.36821,0.37607,-0.1096,0.052538,0.0024167,0.051875,-0.068639,0.37744,0.025326,0.33072,-0.11859,-0.057708,-0.024484,-0.079338,0.087379,0.1063,0.084081,0.24623,0.11657,-0.024641,0.17194,0.14528,0.17089,0.20346,0.18372,0.047475,-0.055912,0.10429,-0.12572,-0.12107,0.2306,0.25709,-0.066134,0.28098,0.097542,-0.011938,0.14023,-0.0052971,0.078556,0.87924,0.018014,0.13849,0.34241,0.046922,0.075369,0.07724,0.0019609,-0.14901,0.04027,0.031627,0.33453
"YWHAZ",0.34194,-0.47227,-0.62853,0.23903,-0.67875,-0.072197,-0.41147,0.20376,0.039958,0.16219,0.083765,-0.21722,-0.33992,-0.18318,0.26116,0.061495,-0.036275,0.37014,-0.18228,0.45807,-0.45333,0.062895,0.10704,1.0292,-0.28394,-0.38259,-0.078665,-0.75662,0.32257,0.75484,-0.0244,0.32467,0.16039,-0.2255,-0.22302,-0.006088,-0.12149,-0.08821,0.029532,-0.34966,-0.35508,-0.09076,-0.27052,0.20394,-0.02354,0.18298,0.00036129,-0.051822,-0.04485,0.018038,0.33366,1.1685,0.29648,0.42536,-0.18449,0.23174,0.0071651,-0.014256,-0.0089874,0.10594,-0.18893,-0.11431,-0.32489,-0.30164,0.28198,1.0184,-0.084696,0.15183,0.025819,-0.068578,-0.28182,-0.058113,0.26378,1.217,0.2308,-0.26172,0.1354,0.33221,0.48119,0.47711,-0.64755,0.39182,0.2186,0.67759,-0.21577,-0.017876,-0.39476,0.068956,-0.12529,-0.0063472,-0.17158,0.27822,-0.62519,-0.17001,0.24099,-0.13562,0.027965,-0.31509,-0.11392,0.063055,0.7299,0.037314,-0.047081,-0.36393,-0.3084,0.13851
